,Lemma,definition
30445,потрошить,"<i>Verb</i><br>1. to disembowel, to eviscerate, to gut<br>2. to paunch<br>3. to rifle, to ransack"
30446,доплачивать,
30447,установочный,
30448,педераст,<i>Noun</i><br>1. pederast<br>2. asshole
30449,авансовый,
30450,приватизационный,
30451,среднедушевой,
30452,размываться,
30453,козлик,
30454,бороздка,<i>Noun</i><br>1. furrow
30455,остроконечный,
30456,козлиный,
30457,ледок,<i>Noun</i><br>1. ice
30458,реляционный,
30459,потренироваться,
30460,вермут,<i>Noun</i><br>1. vermouth
30461,раж,
30462,приборостроение,<i>Noun</i><br>1. instrument making
30463,акционирование,<i>Noun</i><br>1. corporatization
30464,акцизный,
30465,прибалт,"<i>Noun</i><br>1. citizen/dweller of one of the Baltic states (usually of Estonia, Latvia or Lithuania)"
30466,госбанк,<i>Noun</i><br>1. state-owned bank
30467,потрясенно,
30468,тренированный,"<i>Verb</i><br>1. to train, to coach"
30469,разоряться,"<i>Verb</i><br>1. to destroy, to ravage<br>2. to ruin, to bring to ruin"
30470,прибавочный,
30471,по-турецки,
30472,запонка,<i>Noun</i><br>1. cufflink (button used to hold a sleeve cuff together)
30473,козырной,<i>Adjective</i><br>1. trump
30474,сейсморазведка,
30475,оседлый,"<i>Adjective</i><br>1. sedentary, settled (as opposed to nomadic or migratory)"
30476,вереск,<i>Noun</i><br>1. heather
30477,наболевший,
30478,бомонд,<i>Noun</i><br>1. beau monde
30479,дренажный,
30480,мыкаться,
30481,бонитет,
30482,намылить,
30483,мыльница,<i>Noun</i><br>1. a soap dish<br>2. a cheap photo camera.
30484,широкополый,
30485,перемалывать,
30486,катарсис,"<i>Noun</i><br>1. catharsis (in drama, a release of emotional tension)"
30487,сейнер,<i>Noun</i><br>1. seiner (type of fishing boat)
30488,пахота,<i>Noun</i><br>1. plowing<br>2. plowed field
30489,привечать,<i>Verb</i><br>1. to greet; to welcome; to make someone welcome<br>2. to give shelter
30490,леденить,
30491,набекрень,"<i>Adverb</i><br>1. aslant, cocked, tilted to one side"
30492,претенциозный,"<i>Adjective</i><br>1. pretentious, affected<br>2. ambitious (showy)<br>3. grandiose<br>4. orotund<br>5. brassy<br>6. rococo<br>7. artsy-fartsy"
30493,статистик,<i>Noun</i><br>1. statistics (mathematical science)
30494,боржоми,"<i>Noun</i><br>1. Borjomi (a brand, well-known in the USSR, of naturally carbonated mineral water from Georgia (country))."
30495,приветливость,"<i>Noun</i><br>1. friendliness, affability"
30496,заливной,<i>Adjective</i><br>1. floodable; flooded<br>2. used for filling<br>3. jellied; cooked in jelly<br>4. sonorous
30497,судейство,
30498,простатит,
30499,подчистую,
30500,авва,<i>Noun</i><br>1. Abba
30501,расслабленно,<i>Participle</i><br>1. past passive perfective participle of рассла́бить (rasslábitʹ)<br><i>Adjective</i><br>1. past passive perfective participle of рассла́бить (rasslábitʹ)<br><i>Noun</i><br>1. past passive perfective participle of рассла́бить (rasslábitʹ)
30502,прослушиваться,
30503,размыв,"<i>Verb</i><br>1. to erode, to wash away, to destroy with a stream of water<br>2. to blur<br>3. to reduce (a role, stake, etc.)"
30504,аттенуация,
30505,просовывать,"<i>Verb</i><br>1. to put/push through/in, to force through, to shove through/in, to thrust through/in, to pass through/in"
30506,абрек,<i>Noun</i><br>1. Abrek<br>2. a native of the Caucasus
30507,протеин,<i>Noun</i><br>1. protein
30508,медбрат,<i>Noun</i><br>1. male nurse
30509,медуница,
30510,аварийность,
30511,пожинать,"<i>Verb</i><br>1. to reap, to crop"
30512,сырокопченый,
30513,ассистировать,<i>Verb</i><br>1. to assist (help)
30514,подводиться,
30515,центрифугирование,
30516,пожаротушение,
30517,необработанный,"<i>Adjective</i><br>1. unprocessed (not processed), unwrought"
30518,разлечься,
30519,афинский,"<i>Adjective</i><br>1. Athenian (relating to Athens, Greece)"
30520,крупье,<i>Noun</i><br>1. croupier (person who collects bets and pays out winnings at a gambling table)
30521,абсурдно,<i>Adjective</i><br>1. absurd
30522,крупногабаритный,
30523,крупность,
30524,ненастный,"<i>Adjective</i><br>1. rainy, inclement (implying foul or bad situation)"
30525,ненастье,<i>Noun</i><br>1. bad weather (unpleasant or destructive atmospheric conditions)
30526,вхожий,
30527,атлетический,
30528,разнокалиберный,
30529,аврал,
30530,противопоставляться,
30531,пожатие,<i>Noun</i><br>1. handshake<br>2. shrug
30532,самонаведение,
30533,кубинец,<i>Noun</i><br>1. Cuban (a person from Cuba)
30534,подхват,<i>Noun</i><br>1. picking up<br>2. catching<br>3. joining in<br>4. log supported lengthwise in an adit in a mine
30535,самоограничение,<i>Noun</i><br>1. self-limitation
30536,ложбинка,"<i>Noun</i><br>1. shallow ravine, depression"
30537,аутсорсинг,<i>Noun</i><br>1. outsourcing (transfer business)
30538,кубарем,
30539,сыскной,<i>Adjective</i><br>1. detective
30540,крылатка,"<i>Noun</i><br>1. samara (winged indehiscent fruit of trees such as the ash, elm or maple)"
30541,разнимать,"<i>Verb</i><br>1. to disjoint, to dismantle, to separate, to part, to pull apart"
30542,лихость,"<i>Noun</i><br>1. bravery, daring"
30543,иммиграционный,<i>Adjective</i><br>1. immigration
30544,иммуногенность,
30545,разругаться,
30546,немилость,"<i>Noun</i><br>1. dislike of a superior for a subordinate<br>2. disfavor, disgrace"
30547,цепенеть,"<i>Verb</i><br>1. to grow torpid, to become rigid, to freeze"
30548,немецко-фашистский,
30549,мелиорация,<i>Noun</i><br>1. land reclamation/improvement/melioration
30550,эмансипация,<i>Noun</i><br>1. emancipation<br>2. granting of equal rights
30551,встряска,"<i>Noun</i><br>1. shake, shaking<br>2. emotional shock, shaking up<br>3. reprimand, scolding<br>4. emotional uplifting"
30552,кто-кто,
30553,высвобождать,"<i>Verb</i><br>1. to free , to let out , to disengage , to disentangle<br>2. to release, to make available"
30554,сберкнижка,<i>Adjective</i><br>1. savings
30555,выматывать,
30556,лужок,<i>Noun</i><br>1. meadow
30557,алеть,
30558,лаванда,<i>Noun</i><br>1. lavender
30559,антикризисный,
30560,подкрепиться,"<i>Verb</i><br>1. to support<br>2. to bolster (with), to corroborate<br>3. to refresh, to fortify<br>4. to reinforce"
30561,пупырышек,"<i>Noun</i><br>1. pimple<br>2. protrusion, bump"
30562,лейка,"<i>Noun</i><br>1. watering can<br>2. bail<br>3. Leika (brand of camera)<br>4. ↑  §1079 of Грамматика русского языка, volume 1<br>5. ↑  Павский, 1842, Филологические наблюдения над составом русского языка: об именах существительных. Второе рассуждение. 356 pp."
30563,радиочастота,
30564,макаронный,<i>Adjective</i><br>1. macaroni
30565,раменский,
30566,активировать,"<i>Verb</i><br>1. to activate (to encourage development or induce increased activity; to stimulate)<br>2. to activate (to put a device, mechanism or system into action or motion; to enable)<br>3. to activate (to render more reactive)<br>4. to activate (to remove the limitations of demoware by providing a license; to unlock)<br>5. to focus (to transfer the input focus to a visual element)"
30567,подползать,"<i>Verb</i><br>1. to crawl under, to creep under<br>2. to crawl up to, to creep up to"
30568,антенный,
30569,леденящий,
30570,выпекать,<i>Verb</i><br>1. to bake (bread) in an oven
30571,подплывать,<i>Verb</i><br>1. to swim or sail up to
30572,пустошь,"<i>Noun</i><br>1. wasteland; uninhabited, abandoned or uncultivated area"
30573,макинтош,
30574,супчик,<i>Noun</i><br>1. soup (dish)
30575,супружество,"<i>Noun</i><br>1. matrimony, marriage"
30576,анонс,"<i>Noun</i><br>1. announcement, notice, advertisement"
30577,выписываться,"<i>Verb</i><br>1. to sign out<br>2. to subscribe<br>3. to write, to write out, to write down<br>4. to copy<br>5. to discharge<br>6. to take out<br>7. to draw out, to draw<br>8. to draw up"
30578,самоучка,"<i>Noun</i><br>1. self-taught, autodidact, automath"
30579,акробатический,<i>Adjective</i><br>1. acrobatic
30580,разбрызгивать,"<i>Verb</i><br>1. to sprinkle, to spray, to splatter"
30581,кучерявый,"<i>Adjective</i><br>1. curly, frizzy, curly-headed"
30582,эрудит,"<i>Noun</i><br>1. erudite, learned person"
30583,разбрасываться,
30584,куш,
30585,сценография,<i>Noun</i><br>1. scenography
30586,мармелад,"<i>Noun</i><br>1. marmalade, fruit jelly<br>2. fruit jelly candy"
30587,райсовет,
30588,пугающе,
30589,эскорт,"<i>Noun</i><br>1. escort (accompanying group of soldiers, guards, etc.)"
30590,пудовый,
30591,выдувать,
30592,пудреница,<i>Noun</i><br>1. compact
30593,распаляться,
30594,цейтнот,"<i>Noun</i><br>1. zeitnot (time trouble, time pressure (chess))"
30595,измельчать,"<i>Verb</i><br>1. to crumble up, to chop, to crush, to pound, to grind<br><i>Verb</i><br>1. to crumble up, to chop, to crush, to pound, to grind"
30596,выдворение,
30597,сушилка,<i>Noun</i><br>1. dryer (household appliance for drying clothing)
30598,выкройка,<i>Noun</i><br>1. cutting out<br>2. pattern (template for making clothes)
30599,вымокнуть,"<i>Verb</i><br>1. to get soaked, to get drenched, to get very wet<br>2. to soak, to steep; to be retted"
30600,аметист,<i>Noun</i><br>1. amethyst
30601,лапник,
30602,мангал,<i>Noun</i><br>1. brazier
30603,лапочка,<i>Noun</i><br>1. paw
30604,вылизать,<i>Verb</i><br>1. to lick clean
30605,пюпитр,"<i>Noun</i><br>1. music stand, lectern; desk"
30606,маловат,<i>Adjective</i><br>1. a little too small
30607,анабиоз,<i>Noun</i><br>1. anabiosis
30608,пятилетие,"<i>Noun</i><br>1. five-year period, half-decade<br>2. fifth anniversary, fifth birthday"
30609,пятизвездочный,
30610,ларь,"<i>Noun</i><br>1.  chest, wooden box<br>2. stall, kiosk<br>3. trough"
30611,вымести,
30612,непонимающе,
30613,подноготная,
30614,сфокусировать,
30615,малахитовый,
30616,алкать,"<i>Verb</i><br>1. to crave, to thirst (for), to be greedy"
30617,сориентировать,
30618,раскрепостить,
30619,хунта,<i>Noun</i><br>1. junta
30620,аннулирование,
30621,соринка,"<i>Noun</i><br>1. speck, mote, piece of debris"
30622,сходни,<i>Noun</i><br>1. gangboard
30623,неплательщик,"<i>Noun</i><br>1. nonpayer, defaulter"
30624,юниор,<i>Noun</i><br>1. youth sports participant
30625,выкатываться,"<i>Verb</i><br>1. to roll out, to wheel out<br>2. to drive/come out (swiftly)"
30626,этнограф,<i>Noun</i><br>1. ethnographer
30627,выкидыш,"<i>Noun</i><br>1. miscarriage, abortion"
30628,самодостаточность,<i>Noun</i><br>1. self-sufficiency (condition of being self-sufficient)
30629,легонький,
30630,пухнуть,<i>Verb</i><br>1. to swell
30631,выключаться,
30632,лакокрасочный,
30633,радиоактивность,<i>Noun</i><br>1. radioactivity
30634,суперлига,
30635,развалюха,"<i>Noun</i><br>1. clunker, wreck (anything in poor condition or of poor quality)<br>2. jalopy (old, dilapidated car)"
30636,выборочно,
30637,арийский,
30638,прочесывать,
30639,мафиози,"<i>Noun</i><br>1. mafioso, mafiosi"
30640,энергокомпания,
30641,армада,<i>Noun</i><br>1. armada
30642,прошествовать,
30643,суицид,<i>Noun</i><br>1. suicide (usually used as a scientific term)
30644,аристократизм,"<i>Noun</i><br>1. (imagined) aristocratic behavior (subtlety, nobility, elegance, etc.)"
30645,львица,<i>Noun</i><br>1. lioness
30646,телефончик,"<i>Noun</i><br>1. telephone<br>2. telephone number<br>3. small speaker near ears, earphone, headphone."
30647,льдинка,<i>Noun</i><br>1. ice floe
30648,распорядительный,
30649,сывороточный,
30650,прояснение,<i>Noun</i><br>1. clearing<br>2. clearing up<br>3. clarification
30651,таксация,
30652,царскосельский,
30653,вывозиться,
30654,якут,<i>Noun</i><br>1. Yakut (person)
30655,разрядный,
30656,матерщина,"<i>Noun</i><br>1. foul language, filthy language"
30657,подсыхать,"<i>Verb</i><br>1. to dry up<br>2. to dry out<br>3. to become thin, to wither up"
30658,автопарк,"<i>Noun</i><br>1. vehicle fleet<br>2. company or complex for storing, maintaining and repairing a vehicle fleet"
30659,разрывной,
30660,судоходный,<i>Adjective</i><br>1. navigable
30661,кулацкий,
30662,имитатор,<i>Noun</i><br>1. imitator
30663,подтасовка,<i>Noun</i><br>1. deceptive shuffling<br>2. manipulation/distortion
30664,кулеш,
30665,сахарница,<i>Noun</i><br>1. sugar bowl
30666,подсудный,"<i>Adjective</i><br>1. subject to trial<br>2. having jurisdiction<br>3. on trial, being tried in a court"
30667,выбытие,
30668,проходка,
30669,подергивать,
30670,разрядиться,
30671,по-деревенски,
30672,непроверенный,
30673,прохудиться,
30674,подстава,<i>Noun</i><br>1. setup (to involve an unaware and unwilling person into some illegal or undesirable situation)<br>2. practical joke<br>3. support<br>4. the replacement set of horses for a carriage
30675,лефортовский,
30676,пташка,<i>Noun</i><br>1. (a small) bird<br><i>Noun</i><br>1. (a small) bird
30677,ля,<i>Noun</i><br>1. (musical note) A
30678,разъем,"<i>Verb</i><br>1. to eat away, to corrode"
30679,лесопарк,<i>Noun</i><br>1. forest-park
30680,целлюлозно-бумажный,
30681,самосуд,
30682,лютеранский,<i>Adjective</i><br>1. Lutheran
30683,сопло,<i>Noun</i><br>1. nozzle (inlet or outlet pipe)
30684,апокриф,<i>Noun</i><br>1. apocryphal work; Apocrypha
30685,лесозаготовительный,"<i>Adjective</i><br>1. lumbering, logging, timber-cutting, timber-felling"
30686,развязно,
30687,непривлекательный,<i>Adjective</i><br>1. unattractive
30688,курьерский,
30689,курятина,<i>Noun</i><br>1. chicken (meat)
30690,психотерапевтический,
30691,масленок,
30692,сумской,
30693,самоуправство,"<i>Noun</i><br>1. arbitrariness (broad-based crime in Russian law encompassing any ""actions contrary to the order presented by a law"")"
30694,прямолинейно,
30695,материализовать,"<i>Verb</i><br>1. to materialize, to reify, to make concrete or tangible"
30696,непринужденность,"<i>Noun</i><br>1. effortlessness, ease<br>2. nonchalance"
30697,выпороть,"<i>Verb</i><br>1. to flog, to flagellate"
30698,телесность,
30699,пружинный,
30700,любимчик,"<i>Noun</i><br>1. favorite, pet; teacher's pet; blue-eyed boy"
30701,подсолить,
30702,таксофон,
30703,телесно,
30704,летом,"<i>Noun</i><br>1. summer<br>2. pl: years, age, summers"
30705,любование,<i>Noun</i><br>1. admiration
30706,иконописный,
30707,разгневать,"<i>Verb</i><br>1. to anger, to enrage, to incense"
30708,выгнуть,
30709,лесоустроительный,
30710,разгибать,"<i>Verb</i><br>1. to straighten, to unbend"
30711,выгнуться,
30712,талдычить,"<i>Verb</i><br>1. to go on and on , to harp on [+accusative], [+ о (object)], [+ про (object)], [+ насчёт (object)], or without object"
30713,худосочный,
30714,взаперти,
30715,полковничий,
30716,церквушка,<i>Noun</i><br>1. church (religious group)<br>2. church (house of worship)
30717,премьер-лига,
30718,кола,"<i>Noun</i><br>1. stake, spicket, pale<br><i>Noun</i><br>1. stake, spicket, pale<br><i>Noun</i><br>1. stake, spicket, pale"
30719,шкирка,<i>Noun</i><br>1. collar
30720,бороздить,"<i>Verb</i><br>1. to furrow<br>2. to leave ruts<br>3. to travel around, to gallivant (by car, train or ship, etc.)"
30721,попса,"<i>Noun</i><br>1. low-grade pop music<br>2. profit-oriented music<br>3. Any contemporary work of art (literature, film etc.), that is created solely to make short-term profits"
30722,торгсин,
30723,борисоглебский,
30724,вместилище,"<i>Noun</i><br>1. container, receptacle"
30725,приветик,"<i>Interjection</i><br>1. hi, hey"
30726,реликт,<i>Noun</i><br>1. relict
30727,вмещаться,
30728,колика,<i>Noun</i><br>1. colic (severe pains that grip the abdomen or the disease that causes such pains)
30729,шлам,"<i>Noun</i><br>1. sludge (waste from industrial processes, or sediment in a steam boiler)<br>2. slime, mud, ooze<br>3. slurry<br>4. sediment, silt, residue, bottoms<br>5. tarry residue (in engines)<br>6. drilling fluid, drilling mud<br>7. slip<br>8. powdered product, formed as a precipitate in the electrolysis of certain metals and usually containing noble metals<br>9. precipitation in the form of fine particles that are released during sedimentation or filtration of a liquid"
30730,колодезный,<i>Adjective</i><br>1. well
30731,ротвейлер,<i>Noun</i><br>1. Rottweiler (type of dog)
30732,рекордно,
30733,попользоваться,"<i>Verb</i><br>1. to use, to utilize for some time"
30734,внеземной,<i>Adjective</i><br>1. extraterrestrial
30735,бойница,"<i>Noun</i><br>1. embrasure, loophole (slit in a castle wall)"
30736,боекомплект,"<i>Noun</i><br>1. unit of fire (set amount of ammunition per weapon)<br>2. ammunition allowance, ammunition load"
30737,бодрить,"<i>Verb</i><br>1. to stimulate, to invigorate"
30738,колченогий,
30739,стенать,"<i>Verb</i><br>1. to groan, to moan"
30740,реквизировать,
30741,богомолец,<i>Noun</i><br>1. pilgrim (traveler to a religious site)
30742,национал-социализм,<i>Noun</i><br>1. National Socialism
30743,вмазать,"<i>Verb</i><br>1. to fix with cement, to mortar, to putty, etc.<br>2. to hit, to slap"
30744,нахваливать,
30745,кока,<i>Noun</i><br>1. ship's cook<br>2. quiff (hair style)<br><i>Noun</i><br>1. ship's cook<br>2. quiff (hair style)
30746,порицание,"<i>Noun</i><br>1. censure, animadversion (criticism, a critical remark)<br>2. blame, reprobation<br>3. reproof, reproval, reprehension<br>4. reflection, reflexion<br>5. dispraise"
30747,наводящий,"<i>Verb</i><br>1. to direct , to aim , to point<br>2. to cover, to coat, to apply<br>3. to introduce, bring, produce, make, cause"
30748,вкладыш,"<i>Noun</i><br>1. bushing (type of bearing to reduce friction)<br>2. insert, inset"
30749,наводнить,<i>Verb</i><br>1. to flood
30750,четырехугольный,
30751,натрудить,
30752,преодолеваться,
30753,репка,<i>Noun</i><br>1. turnip<br>2. head
30754,препарировать,
30755,натужный,"<i>Noun</i><br>1. strained, forced"
30756,натуралист,"<i>Noun</i><br>1. naturalist (follower of naturalism)<br>2. naturalist (natural scientist, one who studies nature)"
30757,порно,<i>Noun</i><br>1. porn
30758,брехня,<i>Noun</i><br>1. lie (untruth)<br>2. rigmarole (nonsense talk)
30759,прибаутка,"<i>Noun</i><br>1. humorous saying<br>2. nursery rhyme, short entertaining story for children, fable"
30760,наверстывать,
30761,натягиваться,"<i>Verb</i><br>1. to stretch, to pull (taut)<br>2. to pull on"
30762,наварить,<i>Verb</i><br>1. to cook (some amount of food)<br>2. to boil (a quantity of steel) in an open-hearth furnace<br>3. to lengthen by welding<br>4. to weld on<br>5. to profit
30763,коготок,"<i>Noun</i><br>1. claw, talon<br>2. clutch, climbing iron"
30764,наборный,
30765,шифер,<i>Noun</i><br>1. slate (rock or tile)
30766,набат,"<i>Noun</i><br>1. alarm, tocsin (also figuratively)"
30767,сполох,"<i>Noun</i><br>1. alarm<br>2. turmoil, anxiety, commotion<br>3. aurora borealis<br>4. lightning, flash of lightning<br>5. flash of light or fire"
30768,попыхивать,"<i>Verb</i><br>1. to blow smoke<br>2. to puff on (a pipe, cigar, etc.)"
30769,трудяга,"<i>Noun</i><br>1. workaholic, hard worker"
30770,нафталин,<i>Noun</i><br>1. naphthalene<br>2. mothballs
30771,шоссейный,"<i>Adjective</i><br>1. highway, road"
30772,рейтузы,<i>Noun</i><br>1. jodhpurs
30773,попискивать,
30774,бифуркация,
30775,стеснить,"<i>Verb</i><br>1. to put/lay restraint (on), to hinder, to hamper<br>2. to embarrass"
30776,моторчик,"<i>Noun</i><br>1. motor, engine<br>2. taxi, motorcar<br>3. heart<br><i>Interjection</i><br>1. motor, engine<br>2. taxi, motorcar<br>3. heart"
30777,благопристойный,"<i>Adjective</i><br>1. decent, modest, seemly"
30778,благодушие,"<i>Noun</i><br>1. benevolence, kindheartedness<br>2. good humor"
30779,мостить,<i>Verb</i><br>1. to pave
30780,применимость,"<i>Noun</i><br>1. applicability, suitability"
30781,неадекватность,<i>Noun</i><br>1. inadequacy<br>2. mental instability
30782,конвергенция,
30783,благовещенский,
30784,благовещение,<i>Noun</i><br>1. Annunciation
30785,благоверный,
30786,штатив,
30787,компактно,
30788,спиннинг,
30789,бита,<i>Participle</i><br>1. past passive imperfective participle of бить (bitʹ)<br><i>Adjective</i><br>1. past passive imperfective participle of бить (bitʹ)
30790,истринский,
30791,примочка,"<i>Noun</i><br>1. moistening, soaking<br>2. medicinal lotion<br>3. gadget"
30792,штиблета,<i>Noun</i><br>1. men's shoes<br>2. leggings fastened with buttons
30793,редут,
30794,историко-культурный,
30795,приноровиться,"<i>Verb</i><br>1. to get used to, to get accustomed to<br>2. to learn how to do something, to get the hang of it"
30796,биоценоз,
30797,черешня,"<i>Noun</i><br>1. cherry, sweet cherry (fruit, tree, or wood) (Prunus avium)"
30798,невеликий,"<i>Adjective</i><br>1. small, little, not big, not large, insignificant"
30799,моховой,
30800,прикреплять,"<i>Verb</i><br>1. to fasten, to attach (also figurative)<br>2. to register"
30801,колющий,"<i>Verb</i><br>1. to split, to cleave, to break (sugar), to crack (nuts), to chop (firewood)<br>2. to stab, to thrust<br>3. to kill, to slaughter<br>4. to prick, to sting<br>5. to have a stitch, to feel a prick or a stab<br>6. to taunt"
30802,кабала,"<i>Noun</i><br>1. promissory note, leading to debt bondage if unpaid<br>2. debt bondage<br>3. enslavement, servitude, bondage<br><i>Noun</i><br>1. promissory note, leading to debt bondage if unpaid<br>2. debt bondage<br>3. enslavement, servitude, bondage"
30803,вничью,"<i>Adverb</i><br>1. in a draw, in a tie"
30804,музыкально,<i>Adjective</i><br>1. musical
30805,топологический,
30806,начальничек,
30807,попереться,
30808,блядь,"<i>Noun</i><br>1. whore, slut, prostitute<br>2. bitch, slut, promiscuous person<br>3. general-purpose insult — compare shithead, bastard, etc.<br><i>Interjection</i><br>1. whore, slut, prostitute<br>2. bitch, slut, promiscuous person<br>3. general-purpose insult — compare shithead, bastard, etc."
30809,внутриклеточный,<i>Adjective</i><br>1. intracellular
30810,резь,"<i>Noun</i><br>1. sharp pain, colic<br>2. carving"
30811,комикс,"<i>Noun</i><br>1. comics, comic book (a cartoon story)"
30812,призываться,
30813,блиц,"<i>Noun</i><br>1. flashlight<br>2. quick chess game, sudden-death game"
30814,шпарить,"<i>Verb</i><br>1. to scald (one's hands, etc.) (to burn with boiling liquid or steam)<br>2. to pour boiling water over<br>3. to do something with hurriedly or with great force, to energy or zeal<br>4. to be fluent, to speak a language fluently"
30815,коммутатор,"<i>Noun</i><br>1. board (device containing electrical switches)<br>2. commutator, switchboard<br>3. manual exchange, switchboard"
30816,начмед,
30817,блеять,<i>Verb</i><br>1. to bleat
30818,прикаспийский,
30819,комкать,"<i>Verb</i><br>1. to crumple<br>2. to dash off, to race through"
30820,бледно,<i>Adjective</i><br>1. pale
30821,шпионить,<i>Verb</i><br>1. to spy
30822,вовлеченность,
30823,понятливый,"<i>Adjective</i><br>1. apt, quick-witted (mentally keen)"
30824,приклеиться,"<i>Verb</i><br>1. to stick, to glue, to paste"
30825,приковывать,<i>Verb</i><br>1. to chain<br>2. to rivet<br>3. to pin down
30826,понукать,
30827,репрезентативный,
30828,навыкате,
30829,стяг,"<i>Noun</i><br>1. banner, flag"
30830,трубадур,<i>Noun</i><br>1. troubadour
30831,венчурный,
30832,кварк,<i>Noun</i><br>1. quark
30833,квартировать,
30834,ссохнуться,
30835,похолодать,"<i>Verb</i><br>1. to become colder<br>2. to become cold or colder<br>3. to suffer from the cold, to shiver, to get chilled"
30836,похрустывать,
30837,кельтский,
30838,ссылать,"<i>Verb</i><br>1. to banish, to exile<br>2. to make someone refer to"
30839,почесть,"<i>Noun</i><br>1. (often in plural) honour, laurels<br><i>Verb</i><br>1. (often in plural) honour, laurels"
30840,накурить,
30841,кесарь,<i>Noun</i><br>1. Caesar (title of a Roman or Byzantine emperor)
30842,вдрызг,
30843,членение,
30844,шалопай,
30845,наковальня,<i>Noun</i><br>1. anvil<br>2. incus
30846,трапезная,
30847,посмешище,<i>Noun</i><br>1. laughing stock
30848,киноактриса,"<i>Noun</i><br>1. film actress, movie actress"
30849,наскочить,"<i>Verb</i><br>1. to pounce on, to jump onto<br>2. to attack with unfounded accusations<br>3. to collide with, to run into<br>4. to stumble into (a bad situation)"
30850,послеобеденный,"<i>Adjective</i><br>1. postprandial, after-lunch, after-dinner"
30851,транспортник,
30852,прабабка,<i>Noun</i><br>1. great-grandmother
30853,транспортирование,
30854,киномеханик,<i>Noun</i><br>1. projectionist
30855,кинопрокат,<i>Noun</i><br>1. film rental and screening
30856,риэлторский,
30857,наметать,
30858,квалифицироваться,
30859,кардиограмма,<i>Noun</i><br>1. cardiogram
30860,нарвать,"<i>Verb</i><br>1. (boil, abscess) to gather, to come to a head<br>2. to pick (a quantity of)<br>3. to tear (a quantity of)"
30861,вживаться,
30862,напускать,"<i>Verb</i><br>1. to let in, to allow to enter (a large amount of liquid, gas or small items)<br>2. to let in (someone)<br>3. <br>4. to unleash, to sic (an animal) on; to incite (someone) onto<br>5. to strike, to incite (fear, etc.) in"
30863,напугаться,
30864,карикатурный,
30865,нарицательный,"<i>Adjective</i><br>1. appellative, nominal, denominative (relating to a common noun)"
30866,напочвенный,
30867,тридевять,
30868,срастаться,"<i>Verb</i><br>1. to accrete, to grow together, to knit , to inosculate<br>2. to merge, to fuse, to coalesce, to interpenetrate"
30869,взваливать,"<i>Verb</i><br>1. to load (on to), to lift (on to)<br>2. to burden (with)"
30870,ветвиться,"<i>Verb</i><br>1. to branch out, to ramify"
30871,трескаться,"<i>Verb</i><br>1. to crack, to chap"
30872,взлом,"<i>Noun</i><br>1. break-in, breaking"
30873,народец,
30874,карбюратор,<i>Noun</i><br>1. carburetor (a device in an internal combustion engine)
30875,верховенство,"<i>Noun</i><br>1. supremacy, domination"
30876,народоволец,"<i>Noun</i><br>1. member of Narodnaya Volya, a late 19th century far-left terrorist organization in Russia"
30877,вероломный,"<i>Adjective</i><br>1. perfidious, treacherous<br>2. straight; overly straight actions or words"
30878,наняться,"<i>Verb</i><br>1. to hire, to engage<br>2. to rent, to lodge"
30879,вздутый,"<i>Verb</i><br>1. to bloat, to cause to swell<br>2. to blow (something) upward<br>3. to inflate (prices)<br>4. to beat up, to thrash"
30880,поутихнуть,
30881,наружка,
30882,рожица,"<i>Noun</i><br>1.  face, mug, ugly mug, puss<br><i>Noun</i><br>1.  face, mug, ugly mug, puss"
30883,намучиться,
30884,чистокровный,<i>Adjective</i><br>1. pureblooded; thoroughbred
30885,розыскной,"<i>Adjective</i><br>1. searching,  investigation"
30886,кинофорум,
30887,навязывание,"<i>Noun</i><br>1. imposition, imposing<br>2. attaching, attachment, fastening"
30888,предутренний,
30889,камуфляжный,<i>Adjective</i><br>1. camouflage
30890,старорежимный,
30891,бубенчик,
30892,нагнуть,"<i>Verb</i><br>1. to bend, to curve"
30893,шестимесячный,
30894,шестисотый,
30895,поругание,"<i>Noun</i><br>1. mocking, taunt, jeer, insult, humiliation<br>2. desecration"
30896,наглотаться,
30897,презреть,"<i>Verb</i><br>1. to despise, to hold in contempt<br>2. to scorn, to disdain"
30898,прекраснейший,
30899,настурция,
30900,предупредительно,
30901,портфельчик,
30902,брошь,<i>Noun</i><br>1. brooch
30903,тротил,
30904,португалец,<i>Noun</i><br>1. male Portuguese person
30905,камелия,"<i>Noun</i><br>1. camellia<br>2. strumpet, prostitute"
30906,шизофреник,<i>Noun</i><br>1. schizophrenic
30907,стартер,<i>Noun</i><br>1. starter (electric motor that starts an internal-combustion engine)<br>2. starter (person who gives the signal to start)
30908,чечен,
30909,портки,"<i>Noun</i><br>1. pants, trousers"
30910,трояк,
30911,бронхиальный,
30912,чикагский,
30913,шестеренка,"<i>Noun</i><br>1. cog, gear wheel"
30914,киотский,
30915,ваганьковский,
30916,вариабельность,
30917,рокировка,"<i>Noun</i><br>1. castling; a move where the castle (rook) and king swap places<br>2. reshuffle, swap of roles or positions"
30918,назойливо,"<i>Adjective</i><br>1. irritating, intrusive, pushy"
30919,вандализм,"<i>Noun</i><br>1. vandalism<br>2. indifference to the arts, lack of taste<br>3. immoral action"
30920,праздность,"<i>Noun</i><br>1. idleness, indolence"
30921,речитатив,<i>Noun</i><br>1. recitative
